Country,Authors,Year,Title,Journal or book,Volume,Pages,Theory,Practice,Water,Energy,Financial,Environment,Mining,Industrial,Services/Public,Procurement,Health,Transport,Other
FR,"Renaud, J., Thibault, J., Lanouette, R., Kiss, L.N., Zaras, K., Fonteix, C.",2007,Comparison of two multicriteria decision aid methods: Net Flow and Rough Set Methods in a high yield pulping process., European Journal of Operational Research, 177(3), 1418-1432.,0,1,0,0,0,0,0,1,0,0,0,0,0
IT,"Renzi, C., Di Angelo, L., Leali, F.",2020,Automotive Design Engineering: Material and Processes Selection Problems.,Design Tools and Methods in Industrial Engineering,2019,373-384.,0,1,0,0,0,0,0,1,0,0,0,0,0
BR,"Reynoso-Meza, G., Ribeiro, V.H.A., Carreno-Alvarado, E.P.",2017,A comparison of preference handling techniques in multi-objective optimisation for water distribution systems.,Water (Switzerland),9(12),.,0,1,1,0,0,0,0,0,0,0,0,0,0
NL,"Rezaei, J.",2015,A Systematic Review of Multi-criteria Decision-making Applications in Reverse Logistics.,Transportation Research Procedia,10,1,0,1,0,0,0,0,0,0,0,0,0,1,0
IR,"Rezaei-Kelidbari, H.R., Homayounfar, M., Alavi Foumani, S.F.",2016,A Combined group EA-PROMETHEE method for a supplier selection problem.,Iranian Journal of Optimization,8(2),1013-1033.,0,1,0,0,0,0,0,0,0,1,0,0,0
IR,"Rezaei-Malek, M., Razmi, J., Tavakkoli-Moghaddam, R., Taheri-Moghaddam, A.",2017,Towards a psychologically consistent cellular manufacturing system.,International Journal of Production Research,55(2),492-518.,0,1,0,0,0,0,0,1,0,0,0,0,0
IR,"Rezaei-Malek, M., Torabi, S.A., Tavakkoli-Moghaddam, R.",2019,Prioritizing disaster-prone areas for large-scale earthquakes' preparedness: Methodology and application.,Socio-Economic Planning Sciences,67,9-25.,0,1,0,0,0,0,0,0,1,0,0,0,0
IR,"Rezaei-Malek, M., Tavakkoli-Moghaddam, R., Cheikhrouhou, N., Taheri-Moghaddam, A.",2016,"An approximation approach to a trade-off among efficiency, efficacy, and balance for relief pre-positioning in disaster management.",Transportation Research Part E: Logistics and Transportation Review,93,485-509.,0,1,0,0,0,0,0,0,1,0,0,0,0
FR,"Rezouga, F., Boubaker, O., Speriendio, M., Hamdi, M.",2004,Multi-objective optimization of continuous activated sludge process treating industrial waste water., Proceedings of MOPGP'04,,.,0,1,0,0,0,1,0,0,0,0,0,0,0
AU,"Rhodes, J.R., McAlpine, C.A., Lunney, D., Callaghan, J.",2020,Evaluating natural resource management strategies under parameter uncertainty: An outranking approach applied to koala conservation.,MODSIM 2005,2020,2540-2546.,0,1,0,0,0,1,0,0,0,0,0,0,0
BR,"Ribamar Marques de Carvalho, J., Fadlo Curi, W.",2013,Building a index of sustainability trough hydro environmental multicriteria analysis: A study in municipalities of Paraíba (Brazil).,Revista Sociedade & Natureza,25(1),91-106.,0,1,0,0,0,1,0,0,0,0,0,0,0
BR,"Ribamar Marques de Carvalho, J., Kerlly Martins de Araújo Carvalho, E., Fadlo Curi, W., Catao Curi, R., Ataíde Cândido, G.",2014,Methodology for assessing the environmental health: an application in municipalities using a multicriteria analysis.,Saúde e Sociedade,23(1),.,0,1,0,0,0,0,0,0,0,0,1,0,0
BR,"Ribamar Marques de Carvalho, J., Kerlly Martins de Araújo Carvalho, E., Murilo Santos de Araujo, S., Targino Dantas, R.",2016,Indicadores de Saúde Ambiental: uma abordagem através do Método Promethee II.,Redes,21(2),160-181.,0,1,0,0,0,0,0,0,0,0,1,0,0
HR,"Ribarovic, Z., Mladineo, N.",1987,Application of multicriteria analysis to the ranking and evaluation of the investment programs in the ready mixed concrete industry., Engineering Costs and Production Economics,12, 367–374.,0,1,0,0,0,0,0,1,0,0,0,0,0
BR,"Ribeiro de Melo, F., Pena Naval, L.",2019,Reuse Alternatives for Effluents from the Fish Processing Industry through Multi-Criteria Analysis.,Journal of Cleaner Production,227,336-345.,0,1,0,0,0,1,0,1,0,0,0,0,0
GR,"Rigopoulos, G., Psarras, J., Askounis, D.Th.",2008,Fuzzy assignment procedure based on categories' boundaries., American Journal of Applied Sciences, 5(7), 844-851.,1,0,0,0,0,0,0,0,0,0,0,0,0
OM,"Riyazhkhan, A.M., Haq, A.N.",2019,Role of service quality measurements in in-patients satisfaction in corporate hospitals.,International Journal of Business Excellence,18(3),410-433,0,1,0,0,0,0,0,0,0,0,1,0,0
BR,"Riz, G., Santos, E.A.P., de Freitas Rocha Loures, E.",2017,Interoperability Assessment in Health Systems Based on Process Mining and MCDA Methods.,Advances in Intelligent Systems and Computing,569,436-445.,0,1,0,0,0,0,0,0,0,0,1,0,0
ID,"Rizkani Adiprama, T., Ciptomulyono, U.",2012,Audit Energi dengan Pendekatan Metode MCDM-PROMETHEE untuk Konservasi serta Efisiensi Listrik di Rumah Sakit Haji Surabaya.,Jurnal Teknik ITS,1(1),.,0,1,0,1,0,0,0,0,0,0,0,0,0
US,"Roberts, F.S.",2012,Computer science and decision theory., Annals of Operations Research, 163(1), 209–253.,1,0,0,0,0,0,0,0,0,0,0,0,0
FR,"Robinet, C., David, G., Jactel, H.",2019,Modeling the distances traveled by flying insects based on the combination of flight mill and mark-release-recapture experiments.,Ecological Modelling,402,85-92.,0,1,0,0,0,0,0,0,0,0,0,0,1
IN,"Robinson, R.R.R., Thomas, C.",2016,Ranking of machine learning algorithms based on the performance in classifying DDoS attacks.,2015 IEEE Recent Advances in Intelligent Computational Systems,2015,185-190,0,1,0,0,0,0,0,0,1,0,0,0,0
IT,"Rocchi, L., Paolotti, L., Rosati, A., Boggia, A., Catellini, C.",2019,Assessing the sustainability of different poultry production systems: A multicriteria approach.,Journal of Cleaner Production,211,103-114.,0,1,0,0,0,1,0,0,0,0,0,0,0
VE,"Rocco, C.M., Hernandez, E.",2015,Robustness and sensitivity analysis in multiple criteria decision problems using rule learner techniques.,Reliability Engineering & System Safety,134,297-304,1,0,0,0,0,0,0,0,0,0,0,0,0
MX,"Rodriguez-Mariano, A., Reynoso-Meza, G., Paramo-Calderon, D.E., Chavez-Conde, E., Garcia-Alvarado, M.A., Carrillo-Ahumada, J.",2015,ANÁLISIS DEL DESEMPENÑO DE CONTROLADORES LINEALES SINTONIZADOS EN DIFERENTES ESTADOS ESTACIONARIOS DEL BIORREACTOR DE CHOLETTE MEDIANTE TÉCNICAS DE DECISIÓN MULTI-CRITERIO.,Revista Mexicana de Ingenieria Quimica,14(1),167-204.,0,1,0,0,0,0,0,1,0,0,0,0,0
US,"Rogers, S.H., Seager, T.P., Gardner, K.H.",2004,Combining expert judgement and stakeholder values with PROMETHEE: A case study in contaminated sediments management.,"In: Linkov, I., Bakr Ramadan, A. (Eds.), Comparative Risk Assessment and Environmental Decision Making. Kluwer Academic Publishers",, 305–322.,0,1,0,0,0,1,0,0,0,0,0,0,0
IR,"Roghanian, E., Alipour, M.",2014,A fuzzy model for achieving lean attributes for competitive advantages development using AHP-QFD-PROMETHEE.,Journal of Industrial Engineering International,10,.,1,1,0,0,0,0,0,0,1,0,0,0,0
HR,"Rogulj, K., Jajac, N.",2018,Achieving a Construction Barrier-Free Environment: Decision Support to Policy Selection.,Journal of Management in Engineering,34(4),.,0,1,0,0,0,0,0,0,0,0,0,0,1
HR,"Rogulj, K., Jajac, N., Simic, F.",2017,A Decision Support Concept for a construction design project - selecting the type of glass façade.,Croatian Operational Research Review,8(1),333-350.,0,1,0,0,0,0,0,1,0,0,0,0,0
BE,"Roland, J., De Smet, Y., Verly, C.",2012,Rank reversal as a source of uncertainty and manipulation in the PROMETHEE II ranking: A first investigation.,Communications in Computer and Information Science,300,338-346.,1,0,0,0,0,0,0,0,0,0,0,0,0
ID,"Ronyastra, I.M., Gunarta, I.K., Ciptomulyono, U.",2015,A Multi Criteria Decision Analysis for Reinvestment Action Portfolio Selection Problem in an Indonesian Real Estate Company.,Procedia Manufacturing,4,558-567.,0,1,0,0,1,0,0,0,0,0,0,0,0
